"","h_ownership","h_es","h_ehr","h_rating","h_mortality","h_soc","h_ra","h_pex","h_eoc","h_toc","h_imaging"
"934","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"935","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"936","Voluntary non-profit - Other","Yes","Y","LHQ","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"937","Voluntary non-profit - Church","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"938","Voluntary non-profit - Church","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"939","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"940","Government - Local","Yes","Y","LHQ","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"941","Voluntary non-profit - Other","Yes","Y","LHQ","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"942","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"943","Proprietary","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"944","Government - Local","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"945","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"946","Voluntary non-profit - Church","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"947","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Above the national average","Below the national average","Above the national average","Above the national average","Above the national average","Above the national average"
"948","Voluntary non-profit - Church","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"949","Government - Local","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"950","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"951","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Above the national average"
"952","Voluntary non-profit - Church","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"953","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"954","Voluntary non-profit - Private","No","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"955","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"956","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"957","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Above the national average"
"958","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"959","Government - Local","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"960","Government - Local","Yes","Y","LHQ","Below the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"961","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"962","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Same as the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"963","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"964","Proprietary","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Below the national average"
"965","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"966","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"967","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Same as the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"968","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"969","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"970","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"971","Voluntary non-profit - Church","Yes","Y","LHQ","Below the national average","Below the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"972","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"973","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"974","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"975","Government - Hospital District or Authority","Yes","Y","LHQ","Above the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"976","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Above the national average"
"977","Government - Local","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"978","Government - Local","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"979","Government - Local","Yes","Y","LHQ","Below the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Above the national average"
"980","Government - Local","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"981","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"982","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"983","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"984","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"985","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"986","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Same as the national average","Above the national average","Below the national average","Below the national average","Same as the national average"
"987","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Below the national average","Below the national average","Below the national average","Above the national average"
"988","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"989","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"990","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"991","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"992","Voluntary non-profit - Other","Yes","Y","LHQ","Below the national average","Above the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Same as the national average"
"993","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"994","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"995","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"996","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"997","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"998","Government - State","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"999","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"1000","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"1001","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1002","Government - Hospital District or Authority","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"1003","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Same as the national average"
"1004","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1005","Proprietary","Yes","Y","LHQ","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"1006","Voluntary non-profit - Church","Yes","Y","LHQ","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"1007","Government - Hospital District or Authority","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"1008","Proprietary","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Above the national average","Same as the national average"
"1009","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"1010","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1011","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"1012","Government - Hospital District or Authority","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1013","Proprietary","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"1014","Government - Hospital District or Authority","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"1015","Voluntary non-profit - Church","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"1016","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average"
"1017","Voluntary non-profit - Church","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1018","Government - Hospital District or Authority","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
"1019","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"1020","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Below the national average"
"1021","Government - Hospital District or Authority","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Below the national average","Below the national average"
"1022","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average"
"1023","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Above the national average","Above the national average","Above the national average","Same as the national average","Below the national average","Below the national average"
"1024","Proprietary","Yes","Y","LHQ","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"1025","Proprietary","Yes","Y","LHQ","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Below the national average"
"1026","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"1027","Proprietary","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"1028","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"1029","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1030","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"1031","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1032","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"1033","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1034","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1035","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Same as the national average"
"1036","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average"
"1037","Government - Local","Yes","Y","LHQ","Above the national average","Same as the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average"
"1038","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"1039","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Below the national average","Below the national average","Below the national average","Same as the national average"
"1040","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"1041","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"1042","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"1043","Proprietary","Yes","Y","LHQ","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"1044","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"1045","Voluntary non-profit - Other","Yes","Y","LHQ","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"1046","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"1047","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"1048","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Below the national average","Above the national average"
"1049","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Above the national average"
"1050","Proprietary","Yes","Y","LHQ","Above the national average","Same as the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"1051","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1052","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Above the national average","Below the national average","Below the national average"
"1053","Voluntary non-profit - Other","Yes","Y","LHQ","Above the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"1054","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1055","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"1056","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"1057","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Below the national average","Above the national average"
"1058","Proprietary","Yes","Y","LHQ","Above the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"1059","Proprietary","Yes","Y","LHQ","Same as the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"1060","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1061","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"1062","Proprietary","Yes","Y","LHQ","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"1063","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1064","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1065","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"1066","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average"
"1067","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Below the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Above the national average"
"1068","Voluntary non-profit - Private","No","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1069","Voluntary non-profit - Church","No","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"1070","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"1071","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"1072","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"1073","Government - Local","Yes","Y","LHQ","Below the national average","Same as the national average","Above the national average","Below the national average","Below the national average","Same as the national average","Below the national average"
"1074","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"1075","Voluntary non-profit - Church","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Above the national average"
"1076","Government - Local","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1077","Voluntary non-profit - Other","Yes","Y","LHQ","Above the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1078","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"1079","Voluntary non-profit - Other","Yes","Y","LHQ","Below the national average","Below the national average","Above the national average","Below the national average","Same as the national average","Below the national average","Same as the national average"
"1080","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Above the national average","Above the national average","Same as the national average","Same as the national average","Below the national average","Below the national average"
"1081","Government - Hospital District or Authority","No","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1082","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"1083","Voluntary non-profit - Private","Yes","Y","LHQ","Above the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"1084","Government - Hospital District or Authority","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"1085","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1086","Proprietary","Yes","Y","LHQ","Same as the national average","Below the national average","Below the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"1087","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"1088","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Above the national average","Below the national average","Same as the national average","Same as the national average","Above the national average"
"1089","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1090","Government - Local","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"1091","Government - Local","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"1092","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1093","Voluntary non-profit - Other","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1094","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average"
"1095","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1096","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average"
"1097","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Below the national average","Below the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"1098","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1099","Voluntary non-profit - Private","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Below the national average","Same as the national average","Same as the national average","Same as the national average"
"1100","Voluntary non-profit - Church","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Same as the national average"
"1101","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1102","Voluntary non-profit - Other","No","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average"
"1103","Voluntary non-profit - Private","Yes","Y","LHQ","Below the national average","Above the national average","Same as the national average","Same as the national average","Same as the national average","Same as the national average","Above the national average"
"1104","Proprietary","Yes","Y","LHQ","Same as the national average","Same as the national average","Same as the national average","Above the national average","Same as the national average","Above the national average","Below the national average"
